economy,series,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
AFG,AG.LND.FRST.ZS,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184
AFG,EG.FEC.RNEW.ZS,45.0,45.6,37.8,36.7,44.2,33.9,31.9,28.8,21.2,16.5,15.2,12.6,15.4,16.9,19.1,17.7,20.2,19.5,18.3,18.9,18.2,20.0,20.0,
AFG,EN.ATM.PM25.MC.M3,64.767279818427,64.5975727246894,64.4168880125936,64.1762314183241,63.8266086780653,63.3190255280017,61.5146494273075,58.0837850174423,54.1911438080183,51.0014373086482,49.6793770289443,61.8170559083924,70.9223165078033,73.1318159038053,77.1437275538632,73.4908176326415,72.7659101386992,65.8623470043896,67.2271774798558,58.3308722306744,46.0870936659706,,,
AFG,EN.GHG.ALL.PC.CE.AR5,0.691280375127538,0.601770620016745,0.690285304360529,0.674660930876452,0.649281637088682,0.638052705462875,0.620096826262521,0.650601940914213,0.75963399696601,0.839696904922908,0.952372904780493,1.0568695858634,0.945457063300388,0.861861781332804,0.836169269439866,0.81013511444452,0.767536895314699,0.775923966349794,0.749891700574904,0.712772447023825,0.682032156509644,0.691070381975066,0.705148264211187,0.710656611914853
AFG,EN.GHG.CO2.PC.CE.AR5,0.0504760801948225,0.0465729492262171,0.0440777829029563,0.0443407305372896,0.03789792931894,0.0518878290280668,0.0553923376777949,0.0775612303767694,0.144751528002023,0.221465726059917,0.275380974794698,0.388742453073337,0.319626607745266,0.262469648389334,0.238642815009995,0.246706024551365,0.216929891611134,0.226011227289355,0.215877625146902,0.191490829184533,0.18055501271226,0.198267957840034,0.203551890416193,0.210043425410172
AFG,EN.GHG.CO2.RT.GDP.PP.KD,0.0311999345890245,0.0320284738990674,0.0248422283213092,0.0244176672526338,0.0213278974614844,0.0271932430418441,0.0287047995628904,0.0359853944738386,0.066051216203498,0.0863406702353227,0.0966728646726975,0.140999288457186,0.107066143441007,0.0861522278486309,0.07907467140649,0.083130600806585,0.0733172103889419,0.0765361700831013,0.0743792074787976,0.0654167381940772,0.0651897107942923,0.0924685426083421,0.102715267697685,0.105878661774861
AFG,NY.GDP.MKTP.KD.ZG,,-9.4319740700862,28.6000011706788,8.83227780288267,1.41411799339429,11.2297148272859,5.35740324748592,13.8263195471281,3.92498381999467,21.3905283926492,14.3624414710737,0.426354776777345,12.7522870926697,5.60074465863221,2.72454336219565,1.45131466066431,2.26031420279821,2.6470032027451,1.18922812944517,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269,2.26694373649188
AFG,NY.GDP.PCAP.PP.KD,1617.82647494969,1454.11078195559,1774.30874287341,1815.92819979586,1776.91820712187,1908.11478234587,1929.72389709372,2155.35306784413,2191.50435559062,2565.02208584099,2848.58606111495,2757.05258747725,2985.31914452845,3046.57993117128,3017.94254424696,2967.692067153,2958.7853992308,2952.99891598909,2902.39211285546,2927.2451435353,2769.68574507111,2144.16657002819,1981.71016810561,1983.81261992909
AFG,SH.DYN.MORT,131.7,127.4,123.1,118.7,114.2,109.7,105.1,100.7,96.3,92.2,88.3,84.6,81.2,78.0,75.1,72.4,70.0,67.6,65.4,63.3,61.3,59.3,57.4,55.5
AFG,SH.H2O.SMDW.ZS,11.0933263091436,11.1052211474061,12.0077331734354,12.9099215252666,13.8186837545214,14.733852939883,15.6484265825764,16.5625231156134,17.4760103900168,18.3888843398134,19.301139222627,20.2128842346224,21.1239963442836,22.0344697184414,22.9443007139289,23.8535895499243,24.7622201760444,25.6714172375918,26.5813145377719,27.4917341128464,28.4025051496417,29.3138430014086,30.0340981310563,
AFG,SH.STA.AIRP.P5,,,,,,,,,,,,,,,,,,,,265.7,,,,
AFG,SH.STA.WASH.P5,,,,,,,,,,,,,,,,,,,,16.6,,,,
AFG,SH.XPD.CHEX.GD.ZS,,,9.44339085,8.94125843,9.80847359,9.94828892,10.62276554,9.90467453,10.25649548,9.81848717,8.56967163,8.56190777,7.89716864,8.80596447,9.52887821,10.10534763,11.81859016,12.62081718,14.20841885,14.83131981,15.53361416,21.508461,23.0881691,
AFG,SH.XPD.CHEX.PC.CD,,,16.70697403,17.74602509,21.42300415,25.11388779,28.9412632,32.70893097,39.88624954,43.13351822,46.42438889,52.18721771,52.45247269,56.16043472,60.04951096,59.91960526,61.37234497,66.82388306,71.22509003,74.0642395,80.0892334,81.52112579,80.6516037,
AFG,SP.DYN.LE00.IN,55.005,55.511,56.225,57.171,57.81,58.247,58.553,58.956,59.708,60.248,60.702,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035
AFG,SP.POP.GROW,1.21217597601851,0.762004896898895,5.25202958527833,6.14519400188515,3.57583485398158,3.51921696042587,4.09270201656348,1.8925975396006,2.18654618162979,3.64638090813246,2.93468670173474,3.69150308391849,4.04786256315645,3.41822667584596,3.63251884652008,3.11995924146907,2.53571991833963,2.80833730805469,2.91080959861384,2.98438913621969,3.15360920291972,2.35609779179185,1.43570437048699,2.13559384981397
